title,netflixId,image,link,categories,watched,imdb_id,imdb_rating,imdb_votes,year,rated,runtime,genres,director,actors,plot,awards,imdb_poster,content_type,total_seasons,type,imdb_rating_numeric,imdb_votes_numeric
Breaking Bad,70143836,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABTY_oFMWa4w_MOegHro1RQFJygb7yu6ECJNjt0DIKOAEA00qkrtT2db1NM6RKMyEuhv4LPUrF96wCiAEvoSewxNHpcLSAQvrnr4.webp?r=c69,https://www.netflix.com/watch/70143836?tctx=11%2C4%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A70143836%2C,"['Acclaimed Writers', 'Award-Winning TV Shows']",False,tt0903747,9.5,"2,449,665",2008–2013,TV-MA,49 min,"Crime, Drama, Thriller",N/A,"Bryan Cranston, Aaron Paul, Anna Gunn",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.,Won 16 Primetime Emmys. 172 wins & 269 nominations total,https://m.media-amazon.com/images/M/MV5BMzU5ZGYzNmQtMTdhYy00OGRiLTg0NmQtYjVjNzliZTg1ZGE4XkEyXkFqcGc@._V1_SX300.jpg,,5,series,9.5,2449665
Avatar The Last Airbender,80237957,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABZwsJp2O5p20MGMJ72pjg-3qs4HazOOjk18NQa4CyWXSh7txWglG7wHOaCb_wDyhda16qsDPcCjZ-ZotnY46yhCaxUePtWv-BvE.jpg?r=0f5,https://www.netflix.com/watch/80237957?tctx=28%2C5%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80237957%2C,"['Epic Worlds', 'Action TV', 'US TV Shows Dubbed in Hindi']",False,tt0417299,9.3,"427,963",2005–2008,TV-Y7-FV,23 min,"Animation, Action, Adventure",N/A,"Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman","In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Won 1 Primetime Emmy. 9 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMDMwMThjYWYtY2Q2OS00OGM2LTlkODQtNDJlZTZmMjAyYmFhXkEyXkFqcGc@._V1_SX300.jpg,,3,series,9.3,427963
Our Planet,80049832,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABSeSfRME-ZnDzMe6IOVQK3Axi8QaCQLZCqHO0Q9hZ-F5msSA9QLuxoT9ewjoTrNZFmiXy26cWEHBRPwFziP6okMdy5Kh3qExWgo.jpg?r=a9c,https://www.netflix.com/watch/80049832?tctx=13%2C31%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80049832%2C,['Emmy-Winning TV Shows'],False,tt9253866,9.2,"58,743",2019–2023,TV-PG,403 min,Documentary,N/A,David Attenborough,"Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematography.",Won 2 Primetime Emmys. 7 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BZDE1NzlkNWMtNzFiMC00ZTgxLTgyMmItOTU5OGI2NWQ4MDMxXkEyXkFqcGc@._V1_SX300.jpg,,2,series,9.2,58743
When Life Gives You Tangerines,81681535,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABeeBYvJx5lV5G0lFQ7KpNEaUbBZgZCafw2bMm6jDBfD2gjEoyiytLqt9yEtl5tM2muwy_68bynoSox3t8v-w2eg51_g_82OSD38.jpg?r=339,https://www.netflix.com/watch/81681535?tctx=15%2C20%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81681535%2C,"['Award-Winning TV Shows', 'TV Dramas', 'Only on Netflix', 'Critically Acclaimed TV Dramas']",False,tt26471411,9.1,"30,993",2025,TV-14,N/A,"Drama, History, Romance",N/A,"IU, Park Bo-gum, Moon So-ri","In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs, proving love endures across time.",6 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZTBhZTcwNWUtOTZjMi00ZjI2LWEzMzMtNWJkMWQ2ZDA0NTU3XkEyXkFqcGc@._V1_SX300.jpg,,1,series,9.1,30993
Rick and Morty,80014749,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABfQm3X6XI5Vlrl35DbKq-1BwI_jE7OXyychjDgLiGksBqGWW-Tm-VpPMQ8vxc38SwA1hzOS_uWQ0OywMTShGxp9fB6RZ3MSrwkQAlLxjhMCrDoJuYqy32E7K5ITwpjOwhxtDRlV6JS4Oe87GsNw-XB7MhP5As35K0Adk3do.webp?r=7b9,https://www.netflix.com/watch/80014749?tctx=5%2C13%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80014749%2C,"['Sci-Fi TV', 'New on Netflix', 'Acclaimed Writers', 'Emmy-Winning TV Shows', 'Because you liked Gilmore Girls']",False,tt2861424,9.0,"673,197",2013–,TV-MA,23 min,"Animation, Adventure, Comedy",N/A,"Chris Parnell, Spencer Grammer, Sarah Chalke",The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,Won 2 Primetime Emmys. 18 wins & 41 nominations total,https://m.media-amazon.com/images/M/MV5BZGQyZjk2MzMtMTcyNC00NGU3LTlmNjItNDExMWM4ZDFhYmQ2XkEyXkFqcGc@._V1_SX300.jpg,,8,series,9.0,673197
Better Call Saul,80021955,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABQV2ehIkf7r71XvzQtxOFkMrcGSgIhs6FeFbiheqMRTfIhYqSX3cRMbpa0fpqTdp2ZXj5_WUro-nUSG6kTBuE-gfaI9lseLRMa0.webp?r=58b,https://www.netflix.com/watch/80021955?tctx=7%2C2%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80021955%2C,['In a Mood'],False,tt3032476,9.0,"790,900",2015–2022,TV-MA,46 min,"Crime, Drama",N/A,"Bob Odenkirk, Rhea Seehorn, Jonathan Banks",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,Nominated for 53 Primetime Emmys. 66 wins & 317 nominations total,https://m.media-amazon.com/images/M/MV5BNDdjNTEzMjMtYjM3Mi00NzQ3LWFlNWMtZjdmYWU3ZDkzMjk1XkEyXkFqcGc@._V1_SX300.jpg,,6,series,9.0,790900
One Piece,80107103,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABTRu73xsJKutSueVMiLetZKM2fp6-dIBYJ2PNOCZ02t5Kk6vYo1Wh07yakaRZclXVpeQmYg_6yw3w72Ye4jGc2wRILiwIqTiZ4aK_bKWhSc5FO_5N_zzVEepniT2jZ5oq3AOeX1LNQXFGc4xd0P6yRhfACvZoDZiVLgcUqTnMeYbeR00TuZKogx5tvwFE-zL3ha37HXr6gY9k7w8BiwxEbO_8YaEIFRy8_Yfkqc8yGbTfoWyEF_74fJv61nHPovnAZP-YvUQrl1f7MYdoszy5gNsSJHZ7IMxJ7QL7v4alhdMkgr9houNhII3JNt0.webp?r=fcc,https://www.netflix.com/watch/80107103?tctx=34%2C35%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80107103%2C,['Action TV'],False,tt0388629,9.0,"331,084",1999–,TV-14,24 min,"Animation, Action, Adventure",N/A,"Mayumi Tanaka, Akemi Okamura, Tony Beck","Rubber-bodied dreamer Monkey D. Luffy gathers an eclectic pirate crew and braves the perilous Grand Line, battling tyrants and monsters to claim the legendary ""One Piece"" and become King of the Pirates.",7 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMTNjNGU4NTUtYmVjMy00YjRiLTkxMWUtNzZkMDNiYjZhNmViXkEyXkFqcGc@._V1_SX300.jpg,,1,series,9.0,331084
90's,82640238,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABaj5GZ_i6TXR0e4xClhLDeFa8UI_wfyU7hoiV5_S-DCalH46z2TwO3oSKF0j8CwikOrfFoNt6Na1_XlyisLjJHBUmzi_xf-ylrCu6NFYN4-eqbDep-XkxN-EM5hW-ob9E5gybJhZiF53D_QHkCE0q6IpkHyP89eBSDuHQpwEA9nFvJ0QfsfCK75a2oq3WXZcQc6Kc2CwU2V50capazZEuuxe5q58m2JhPVBPu3E.webp?r=ed2,https://www.netflix.com/watch/82640238?tctx=3%2C23%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A82640238%2C,"['Recovery-mode Recommendations', 'New on Netflix', 'Because you watched Dabba Cartel', 'Because you watched Ulajh', 'Top 10 Shows in India Today']",False,tt29764006,9.0,"6,404",2024–,N/A,N/A,Drama,N/A,"Snehal Kamath, Sivaji, Vasanthika","A nostalgic trip down memory lane, delving into the everyday life of a middle-class family.",N/A,https://m.media-amazon.com/images/M/MV5BMTI4N2Y3YmUtOTM2MS00OTAxLTljMjktMTVkNjBjNTM1ZDJiXkEyXkFqcGc@._V1_SX300.jpg,,1,series,9.0,6404
Arcane,81435684,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABWPxI4_nduBoAEPqhLVEWuB_b5HULGR3cIS0VwqQzbZpBCi29AFCJkraDymSNLKFWzobHCjJomZNauNg4Co194L9ujU80OvOoAM.jpg?r=273,https://www.netflix.com/watch/81435684?tctx=13%2C24%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81435684%2C,['Emmy-Winning TV Shows'],False,tt11126994,9.0,"427,223",2021–2024,TV-14,N/A,"Animation, Action, Adventure",N/A,"Kevin Alejandro, Hailee Steinfeld, Ella Purnell","Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",Won 8 Primetime Emmys. 40 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BYjA2NzhlMDItNWRmZC00MzRjLWE3ZjAtZjBlZDAwOWY2ODdjXkEyXkFqcGc@._V1_SX300.jpg,,2,series,9.0,427223
Reply 1988,80188351,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABdi8Z4ketMubytrRN3GykkSlKYx3A9WSNv-yKyeYxRM8kOabMdaR4zM-pEOg-dNWTUjauDPxFh_ggVqAZlcFBCPMgdN70yp9_NE.webp?r=b92,https://www.netflix.com/watch/80188351?tctx=3%2C31%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80188351%2C,['Recovery-mode Recommendations'],False,tt5182866,9.0,"17,807",2015–2016,N/A,25S min,"Comedy, Drama, Family",N/A,"Lee Hyeri, Park Bo-gum, Ryu Jun-yeol","Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul in 1988, lean on each other to survive their challenging teen years and set a path for their futures.",8 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BZDBiNDE1NzUtYmU0OS00YmUxLTljODUtOTczNDE3ZGQ0MmYzXkEyXkFqcGc@._V1_SX300.jpg,,1,series,9.0,17807
